,playerid,web_name,element_type_x,now_cost,team,expected_goals.gw,expected_assists.gw,expected_goal_involvements.gw,expected_goals_conceded.gw,XGI_Weighted,XGC_Weighted,AttackOpp_pergame,DefenceOpp_pergame,element,position,multiplier,is_captain,is_vice_captain,element_type_y,IsInCurrentTeam
0,1.0,Fábio Vieira,3.0,54.0,1.0,0.0,0.0,0.0,0.0,0.47518095087430207,2.418295184445,0.0,0.0,,,,,,,N
1,2.0,G.Jesus,4.0,68.0,1.0,0.2425,0.0325,0.275,0.3925,0.47518095087430207,2.418295184445,0.665031175722375,0.18650852321816358,,,,,,,N
2,3.0,Gabriel,2.0,63.0,1.0,0.165,0.025,0.19,0.46,0.47518095087430207,2.418295184445,0.45947608504455,0.21858323740217897,,,,,,,N
3,4.0,Havertz,4.0,79.0,1.0,0.5900000000000001,0.0475,0.6375,0.485,0.47518095087430207,2.418295184445,1.5416631800836873,0.2304627611740365,,,,,,,N
4,6.0,J.Timber,2.0,57.0,1.0,0.01,0.1,0.11000000000000001,0.49,0.47518095087430207,2.418295184445,0.26601247028895003,0.23283866592840802,,,,,,,N
5,7.0,Jorginho,3.0,47.0,1.0,0.0,0.015,0.015,0.04,0.47518095087430207,2.418295184445,0.036274427766675,0.019007238034972083,,,,,,,N
6,9.0,Martinelli,3.0,68.0,1.0,0.195,0.1775,0.3725,0.49,0.47518095087430207,2.418295184445,0.9008149562057625,0.23283866592840802,,,,,,,N
7,10.0,Nelson,3.0,50.0,9.0,0.0,0.0,0.0,0.0,0.3656553324234515,3.0260199270568746,0.0,0.0,,,,,,,N
8,11.0,Nketiah,4.0,59.0,7.0,0.1175,0.0175,0.135,0.095,0.3924039726073756,2.85942161927,0.38602191860145,0.03727837739770068,,,,,,,N
9,12.0,Nwaneri,3.0,45.0,1.0,0.0,0.0225,0.0225,0.01,0.47518095087430207,2.418295184445,0.0544116416500125,0.004751809508743021,,,,,,,N
10,13.0,Ødegaard,3.0,84.0,1.0,0.19,0.15,0.33999999999999997,0.5,0.47518095087430207,2.418295184445,0.8222203627112998,0.23759047543715103,,,,,,,N
11,15.0,Raya,1.0,56.0,1.0,0.0,0.0,0.0,0.5,0.47518095087430207,2.418295184445,0.0,0.23759047543715103,15.0,1.0,1.0,False,False,1.0,Y
12,16.0,Rice,3.0,62.0,1.0,0.105,0.255,0.36,0.0825,0.47518095087430207,2.418295184445,0.8705862664002,0.03920242844712992,,,,,,,N
13,17.0,Saka,3.0,103.0,1.0,0.105,0.1675,0.27249999999999996,0.2475,0.47518095087430207,2.418295184445,0.6589854377612624,0.11760728534138977,,,,,,,N
14,18.0,Saliba,2.0,63.0,1.0,0.2975,0.02,0.3175,0.5,0.47518095087430207,2.418295184445,0.7678087210612875,0.23759047543715103,,,,,,,N
15,19.0,Smith Rowe,3.0,54.0,9.0,0.0,0.005,0.005,0.655,0.3656553324234515,3.0260199270568746,0.015130099635284375,0.23950424273736076,,,,,,,N
16,20.0,Thomas,3.0,50.0,1.0,0.0625,0.05,0.1125,0.47250000000000003,0.47518095087430207,2.418295184445,0.2720582082500625,0.22452299928810773,,,,,,,N
17,23.0,Trossard,3.0,68.0,1.0,0.0475,0.235,0.28250000000000003,0.26,0.47518095087430207,2.418295184445,0.6831683896057126,0.12354704722731855,,,,,,,N
18,27.0,Archer,4.0,50.0,17.0,0.0575,0.055,0.11249999999999999,0.595,0.4122796516735227,2.02466982259,0.22777535504137497,0.245306392745746,,,,,,,N
19,28.0,Bailey,3.0,62.0,2.0,0.0,0.05,0.05,0.1275,0.3887056561105774,2.097986562605,0.10489932813025,0.04955997115409862,,,,,,,N
20,29.0,Barkley,3.0,52.0,2.0,0.115,0.022500000000000003,0.1375,0.1525,0.3887056561105774,2.097986562605,0.2884731523581875,0.05927761255686305,,,,,,,N
21,30.0,Barrenechea,3.0,49.0,2.0,0.0,0.0,0.0,0.0,0.3887056561105774,2.097986562605,0.0,0.0,,,,,,,N
22,31.0,Buendia,3.0,51.0,2.0,0.0,0.0,0.0,0.14250000000000002,0.3887056561105774,2.097986562605,0.0,0.05539055599575728,,,,,,,N
23,32.0,Cash,2.0,44.0,2.0,0.0325,0.1125,0.14500000000000002,1.3250000000000002,0.3887056561105774,2.097986562605,0.304208051577725,0.5150349943465151,,,,,,,N
24,33.0,Dendoncker,3.0,45.0,2.0,0.0,0.0,0.0,0.0,0.3887056561105774,2.097986562605,0.0,0.0,,,,,,,N
25,34.0,Diaby,3.0,65.0,2.0,0.0,0.0,0.0,0.0,0.3887056561105774,2.097986562605,0.0,0.0,,,,,,,N
26,36.0,Digne,2.0,46.0,2.0,0.0125,0.155,0.16749999999999998,1.3575,0.3887056561105774,2.097986562605,0.3514127492363375,0.5276679281701088,,,,,,,N
27,37.0,Dobbin,3.0,50.0,2.0,0.0,0.0,0.0,0.0,0.3887056561105774,2.097986562605,0.0,0.0,,,,,,,N
28,38.0,Duran,4.0,59.0,2.0,0.4175,0.005,0.4225,0.53,0.3887056561105774,2.097986562605,0.8863993227006124,0.20601399773860601,,,,,,,N
29,41.0,Iling Jr,3.0,54.0,2.0,0.0,0.0,0.0,0.0,0.3887056561105774,2.097986562605,0.0,0.0,,,,,,,N
30,42.0,Kamara,3.0,50.0,2.0,0.0175,0.02,0.0375,1.3475000000000001,0.3887056561105774,2.097986562605,0.0786744960976875,0.5237808716090031,,,,,,,N
31,44.0,Konsa,2.0,44.0,2.0,0.06,0.0075,0.0675,1.475,0.3887056561105774,2.097986562605,0.1416140929758375,0.5733408427631016,,,,,,,N
32,47.0,Martinez,1.0,50.0,2.0,0.0,0.0,0.0,1.475,0.3887056561105774,2.097986562605,0.0,0.5733408427631016,,,,,,,N
33,48.0,McGinn,3.0,52.0,2.0,0.1175,0.1675,0.285,1.4075000000000002,0.3887056561105774,2.097986562605,0.5979261703424249,0.5471032109756377,,,,,,,N
34,52.0,Pau,2.0,43.0,2.0,0.0675,0.0175,0.085,1.475,0.3887056561105774,2.097986562605,0.17832885782142502,0.5733408427631016,,,,,,,N
